Source 	 Sink 	 Weight
 A 	 AAL 	 1.189554
 A 	 AAP 	 1.26971
 A 	 AAPL 	 1.373192
 A 	 ABBV 	 1.129386
 A 	 ABC 	 1.248807
 A 	 ABT 	 1.021796
 A 	 ACN 	 1.055284
 A 	 ADBE 	 1.098334
 A 	 ADI 	 1.107646
 A 	 ADM 	 1.176552
 A 	 ADP 	 1.118757
 A 	 ADS 	 1.138418
 A 	 ADSK 	 1.088049
 A 	 AEE 	 1.324211
 A 	 AEP 	 1.311816
 A 	 AES 	 1.20513
 A 	 AET 	 1.138135
 A 	 AFL 	 1.066414
 A 	 AGN 	 1.188182
 A 	 AIG 	 1.083639
 A 	 AIV 	 1.258621
 A 	 AIZ 	 1.197803
 A 	 AJG 	 1.076885
 A 	 AKAM 	 1.167347
 A 	 ALB 	 1.129219
 A 	 ALK 	 1.276794
 A 	 ALL 	 1.15612
 A 	 ALLE 	 1.080271
 A 	 ALXN 	 1.141495
 A 	 AMAT 	 1.097351
 A 	 AMD 	 1.273754
 A 	 AME 	 1.043195
 A 	 AMG 	 0.9998078
 A 	 AMGN 	 1.041104
 A 	 AMP 	 1.031848
 A 	 AMT 	 1.137467
 A 	 AMZN 	 1.200681
 A 	 AN 	 1.119492
 A 	 ANTM 	 1.153295
 A 	 AON 	 1.114569
 A 	 APA 	 1.171284
 A 	 APC 	 1.164726
 A 	 APD 	 1.097991
 A 	 APH 	 1.240406
 A 	 ARE 	 1.246552
 A 	 ARNC 	 1.293854
 A 	 ATVI 	 1.206668
 A 	 AVB 	 1.272389
 A 	 AVGO 	 1.116803
 A 	 AVY 	 1.092121
 A 	 AWK 	 1.308271
 A 	 AXP 	 1.179122
 A 	 AYI 	 1.172271
 A 	 AZO 	 1.194046
 A 	 BA 	 1.128059
 A 	 BAC 	 1.07595
 A 	 BAX 	 1.293606
 A 	 BBBY 	 1.194683
 A 	 BBT 	 1.059047
 A 	 BBY 	 1.235848
 A 	 BCR 	 1.137238
 A 	 BDX 	 1.05646
 A 	 BEN 	 1.055751
 A 	 BF.B 	 1.340761
 A 	 BHI 	 1.177098
 A 	 BIIB 	 1.163621
 A 	 BK 	 1.024942
 A 	 BLK 	 0.9868729
 A 	 BLL 	 1.107585
 A 	 BMY 	 1.199165
 A 	 BRK.B 	 1.059485
 A 	 BSX 	 1.098769
 A 	 BWA 	 1.097535
 A 	 BXP 	 1.193812
 A 	 C 	 1.031725
 A 	 CA 	 1.106866
 A 	 CAG 	 1.323056
 A 	 CAH 	 1.123621
 A 	 CAT 	 1.083226
 A 	 CB 	 1.061847
 A 	 CBG 	 1.082024
 A 	 CBOE 	 1.328524
 A 	 CBS 	 1.142621
 A 	 CCI 	 1.241061
 A 	 CCL 	 1.101964
 A 	 CELG 	 1.227472
 A 	 CERN 	 1.154585
 A 	 CF 	 1.358187
 A 	 CHD 	 1.343993
 A 	 CHK 	 1.248984
 A 	 CHRW 	 1.172522
 A 	 CHTR 	 1.219052
 A 	 CI 	 1.196019
 A 	 CINF 	 1.090558
 A 	 CL 	 1.174025
 A 	 CLX 	 1.280539
 A 	 CMA 	 1.078403
 A 	 CMCSA 	 1.30182
 A 	 CME 	 1.206382
 A 	 CMG 	 1.285416
 A 	 CMI 	 1.095965
 A 	 CMS 	 1.334782
 A 	 CNC 	 1.292297
 A 	 CNP 	 1.215413
 A 	 COF 	 1.095081
 A 	 COG 	 1.245176
 A 	 COH 	 1.188266
 A 	 COL 	 1.1382
 A 	 COO 	 1.174277
 A 	 COP 	 1.163794
 A 	 COST 	 1.225428
 A 	 COTY 	 1.279653
 A 	 CPB 	 1.26443
 A 	 CRM 	 1.125817
 A 	 CSCO 	 1.117567
 A 	 CSX 	 1.150909
 A 	 CTAS 	 1.066331
 A 	 CTL 	 1.279898
 A 	 CTSH 	 1.151822
 A 	 CTXS 	 1.169285
 A 	 CVS 	 1.193587
 A 	 CVX 	 1.1127
 A 	 CXO 	 1.167194
 A 	 D 	 1.317753
 A 	 DAL 	 1.147191
 A 	 DD 	 1.170157
 A 	 DE 	 1.144484
 A 	 DFS 	 1.096809
 A 	 DG 	 1.265302
 A 	 DGX 	 1.04644
 A 	 DHI 	 1.111882
 A 	 DHR 	 1.074675
 A 	 DIS 	 1.138429
 A 	 DISCA 	 1.270032
 A 	 DISCK 	 1.270356
 A 	 DISH 	 1.158469
 A 	 DLPH 	 1.105466
 A 	 DLR 	 1.244776
 A 	 DLTR 	 1.244966
 A 	 DOV 	 1.119817
 A 	 DOW 	 1.116633
 A 	 DPS 	 1.265516
 A 	 DRI 	 1.253612
 A 	 DTE 	 1.31678
 A 	 DUK 	 1.343508
 A 	 DVA 	 1.15182
 A 	 DVN 	 1.173444
 A 	 DXC 	 1.289123
 A 	 EA 	 1.224003
 A 	 EBAY 	 1.311565
 A 	 ECL 	 1.051755
 A 	 ED 	 1.376149
 A 	 EFX 	 1.074128
 A 	 EIX 	 1.343006
 A 	 EL 	 1.184701
 A 	 EMN 	 1.130604
 A 	 EMR 	 1.088346
 A 	 EOG 	 1.16518
 A 	 EQIX 	 1.167515
 A 	 EQR 	 1.273691
 A 	 EQT 	 1.225172
 A 	 ES 	 1.331472
 A 	 ESRX 	 1.180415
 A 	 ESS 	 1.241477
 A 	 ETFC 	 1.070385
 A 	 ETN 	 1.061936
 A 	 ETR 	 1.29487
 A 	 EVHC 	 1.295469
 A 	 EW 	 1.267716
 A 	 EXC 	 1.277221
 A 	 EXPD 	 1.163957
 A 	 EXPE 	 1.152502
 A 	 EXR 	 1.287932
 A 	 F 	 1.109518
 A 	 FAST 	 1.149749
 A 	 FB 	 1.14944
 A 	 FBHS 	 1.089844
 A 	 FCX 	 1.161881
 A 	 FDX 	 1.09011
 A 	 FE 	 1.309356
 A 	 FFIV 	 1.212138
 A 	 FIS 	 1.102643
 A 	 FISV 	 1.046107
 A 	 FITB 	 1.077305
 A 	 FL 	 1.247094
 A 	 FLIR 	 1.142197
 A 	 FLR 	 1.127907
 A 	 FLS 	 1.132144
 A 	 FMC 	 1.10998
